UK,Christopher Morahan,Comedy,Clockwise,PG,96,6.6,John Cleese,Michael Frayn,1986
USA,Robert M. Young,Drama,Extremities,R,89,6.3,Farrah Fawcett,William Mastrosimone,1986
USA,Brian De Palma,Comedy,Wise Guys,R,100,5.6,Danny DeVito,George Gallo,1986
USA,Peter Medak,Drama,The Men's Club,R,101,4.5,David Dukes,Leonard Michaels,1986
Switzerland,Claude Berri,Drama,Jean de Florette,PG,120,8.1,Yves Montand,Claude Berri,1986
USA,Tom DeSimone,Drama,Reform School Girls,R,94,5.2,Linda Carol,Jack Cummins,1986
Switzerland,Claude Berri,Drama,Manon of the Spring,PG,113,8,Yves Montand,Claude Berri,1986
UK,Jim Goddard,Adventure,Shanghai Surprise,PG-13,97,3.1,Sean Penn,John Kohn,1986
USA,Sidney Lumet,Drama,Power,R,111,5.7,Richard Gere,David Himmelstein,1986
USA,Jerry Kramer,Comedy,Modern Girls,PG-13,84,5.9,Daphne Zuniga,Laurie Craig,1986
USA,Bruce Beresford,Comedy,Crimes of the Heart,PG-13,105,6.4,Diane Keaton,Beth Henley,1986
USA,John McTiernan,Horror,Nomads,R,91,5.5,Lesley-Anne Down,John McTiernan,1986
USA,Peter Manoogian,Action,Eliminators,PG,96,4.5,Andrew Prine,Paul De Meo,1986
Canada,George Mendeluk,Comedy,Meatballs III: Summer Job,R,96,3.3,Sally Kellerman,Janis Allen,1986
USA,J. Lee Thompson,Action,Murphy's Law,R,100,5.9,Charles Bronson,Gail Morgan Hickman,1986
USA,David Byrne,Musical,True Stories,PG,90,7,David Byrne,Stephen Tobolowsky,1986
USA,Prince,Comedy,Under the Cherry Moon,PG-13,98,4.9,Prince,Becky Johnston,1986
Israel,Moshé Mizrahi,Drama,Every Time We Say Goodbye,PG-13,95,5.9,Tom Hanks,Moshé Mizrahi,1986
UK,Julien Temple,Drama,Absolute Beginners,PG-13,108,5.6,Patsy Kensit,Colin MacInnes,1986
USA,Bertrand Tavernier,Drama,'Round Midnight,R,133,7.4,Dexter Gordon,David Rayfiel,1986
USA,Sam Firstenberg,Action,Avenging Force,R,104,5.9,Michael Dudikoff,James Booth,1986
Canada,Paul Lynch,Action,Bullies,R,96,5.4,Jonathan Crombie,John Sheppard,1986
UK,John Hough,Adventure,Biggles: Adventures in Time,PG,88,5.8,Neil Dickson,W.E. Johns,1986
USA,Albert Magnoli,Drama,American Anthem,PG-13,102,4,Mitchell Gaylord,Evan Archerd,1986
USA,Richard Tuggle,Action,Out of Bounds,R,93,5.4,Anthony Michael Hall,Tony Kayden,1986
USA,David Beaird,Comedy,My Chauffeur,R,97,5.6,Deborah Foreman,David Beaird,1986
USA,Gene Saks,Comedy,Brighton Beach Memoirs,PG-13,108,6.9,Blythe Danner,Neil Simon,1986
France,Éric Rohmer,Drama,Summer,R,98,7.8,Marie Rivière,Marie Rivière,1986
USA,Paul Nicholas,Drama,The Naked Cage,R,97,5.5,Shari Shattuck,Paul Nicholas,1986
UK,Richard Franklin,Horror,Link,R,100,5.9,Terence Stamp,Lee David Zlotoff,1986
UK,Bob Swaim,Thriller,Half Moon Street,R,90,5.4,Sigourney Weaver,Edward Behr,1986
USA,Tom Moore,Drama,night Mother,PG-13,96,7.6,Sissy Spacek,Marsha Norman,1986
USA,Blake Edwards,Action,A Fine Mess,PG,90,4.5,Ted Danson,Blake Edwards,1986
USA,Mark Griffiths,Comedy,Hardbodies 2,R,88,2.9,James Karen,Mark Griffiths,1986
Netherlands,Fons Rademakers,Drama,The Assault,PG,155,7.3,Derek de Lint,Gerard Soeteman,1986
USA,Paul Schneider,Comedy,Willy/Milly,PG-13,86,5.7,Pamela Adlon,Alan Friedman,1986
USA,Janet Greek,Drama,The Ladies Club,R,85,5.3,Karen Austin,Casey Bishop,1986
USA,Stuart Rosenberg,Action,Let's Get Harry,R,102,5.2,Michael Schoeffling,Mark Feldberg,1986
USA,Daryl Duke,Adventure,Tai-Pan,R,127,5.5,Bryan Brown,John Briley,1986
USA,Jeffrey Delman,Comedy,Deadtime Stories,R,93,4.6,Scott Valentine,Jeffrey Delman,1986
USA,Dick Richards,Action,Heat,R,101,5.5,Burt Reynolds,William Goldman,1986
USA,Robert Mandel,Comedy,Touch and Go,R,101,5.8,Michael Keaton,Alan Ormsby,1986
Canada,Charles Jarrott,Biography,The Boy in Blue,R,100,5.4,Nicolas Cage,Douglas Bowie,1986
USA,Alan Alda,Comedy,Sweet Liberty,PG,106,5.7,Alan Alda,Alan Alda,1986
USA,William Fruet,Comedy,Killer Party,R,91,4.7,Martin Hewitt,Barney Cohen,1986
USA,Bill Sherwood,Drama,Parting Glances,Not specified,90,7.8,John Bolger,Bill Sherwood,1986
Canada,Dale Schott,Animation,Care Bears Movie II: A New Generation,G,76,5.3,Maxine Miller,Peter Sauder,1986
USA,Andrew Lane,Action,Jake Speed,PG,100,5.3,Wayne Crawford,Wayne Crawford,1986
USA,Renny Harlin,Action,Born American,R,97,4.3,Mike Norris,Renny Harlin,1986
USA,Michelle Manning,Action,Blue City,R,83,4.4,Judd Nelson,Ross Macdonald,1986
Australia,Nadia Tass,Comedy,Malcolm,PG-13,90,7.2,Colin Friels,David Parker,1986
USA,Bob Weinstein,Comedy,Playing for Keeps,PG-13,102,4.1,Daniel Jordano,Bob Weinstein,1986
USA,Andrey Konchalovskiy,Drama,Duet for One,R,107,7,Julie Andrews,Tom Kempinski,1986
USA,Evelyn Purcell,Comedy,Nobody's Fool,PG-13,107,5.5,Rosanna Arquette,Beth Henley,1986
USA,John Byrum,Comedy,The Whoopee Boys,R,88,6.2,Michael O'Keefe,Steve Zacharias,1986
USA,Blake Edwards,Comedy,That's Life!,PG-13,102,6.1,Jack Lemmon,Milton Wexler,1986
USA,Hal Needham,Comedy,Body Slam,PG,89,5.3,Dirk Benedict,Shel Lytton,1986
UK,David Drury,Thriller,Defense of the Realm,PG,96,6.6,Gabriel Byrne,Martin Stellman,1986
Argentina,Eliseo Subiela,Drama,Man Facing Southeast,R,105,7.8,Lorenzo Quinteros,Eliseo Subiela,1986
Canada,Denys Arcand,Comedy,The Decline of the American Empire,R,101,7.3,Dominique Michel,Denys Arcand,1986
USA,Jack Fisk,Drama,Violets Are Blue...,PG-13,88,5.7,Sissy Spacek,Naomi Foner,1986
UK,Simon Langton,Thriller,The Whistle Blower,PG,100,6.2,Michael Caine,Julian Bond,1986
USA,Jerrold Freedman,Drama,Native Son,PG,111,5.9,Victor Love,Richard Wesley,1986
USA,Eugene Corr,Drama,Desert Bloom,PG,105,6.6,Jon Voight,Linda Remy,1986
USA,Lizzie Borden,Drama,Working Girls,UNRATED,93,6.5,Louise Smith,Lizzie Borden,1986
France,Bertrand Blier,Comedy,Ménage,Not specified,84,7,Gérard Depardieu,Bertrand Blier,1986
Denmark,Henning Carlsen,Biography,Oviri,R,100,6.2,Donald Sutherland,Henning Carlsen,1986
UK,Raju Patel,Action,In the Shadow of Kilimanjaro,R,100,5.1,John Rhys-Davies,T. Michael Harry,1986
Australia,Tim Burstall,Drama,Kangaroo,R,108,6.7,Colin Friels,Evan Jones,1986
USA,Albert Pyun,Action,Dangerously Close,R,95,6.6,John Stockwell,Scott Fields,1986
USA,Carroll Ballard,Family,Nutcracker,G,100,7.2,Hugh Bigney,Kent Stowell,1986
Italy,Federico Fellini,Comedy,Ginger and Fred,PG-13,125,7.3,Marcello Mastroianni,Federico Fellini,1986
USA,Alan J. Pakula,Crime,Dream Lover,R,104,5.1,Kristy McNichol,Jon Boorstin,1986
USA,Allan Burns,Drama,Just Between Friends,PG-13,110,5.9,Mary Tyler Moore,Allan Burns,1986
USA,Gary Hudson,Action,Thunder Run,PG-13,90,5.1,Forrest Tucker,Charles Davis,1986
USA,Paul Bartel,Comedy,The Longshot,PG-13,89,5.4,Tim Conway,Tim Conway,1986
USA,Michael Dinner,Comedy,Off Beat,PG,92,5,Judge Reinhold,Dezsö Magyar,1986
USA,Joe Roth,Drama,Streets of Gold,R,95,6,Klaus Maria Brandauer,Dezsö Magyar,1986
USA,Bert Convy,Action,Weekend Warriors,R,100,4.4,Chris Lemmon,Bruce Belland,1986
UK,Zoran Perisic,Action,Sky Bandits,PG,100,4.6,Scott McGinnis,Thom Keyes,1986
USA,Fred Olen Ray,Action,Armed Response,R,86,4.9,David Carradine,T.L. Lankford,1986
Netherlands,Franco Zeffirelli,Drama,Otello,PG,100,7.2,Plácido Domingo,Arrigo Boito,1986
USA,Rob Nilsson,Drama,On the Edge,PG-13,95,7.1,Bruce Dern,Roy Kissin,1986
USA,Frank Harris,Action,Low Blow,R,100,3.5,Leo Fong,Leo Fong,1986
USA,Glen Pitre,Drama,Belizaire the Cajun,PG,103,6.4,Armand Assante,Glen Pitre,1986
France,Claude Lelouch,Drama,A Man and a Woman: 20 Years Later,PG,112,5.8,Anouk Aimée,Claude Lelouch,1986
USA,Clay Borris,Action,Quiet Cool,R,100,5.7,James Remar,Clay Borris,1986
USA,Gideon Amir,Action,Behind Enemy Lines,R,90,4.9,David Carradine,Malcolm Barbour,1986
USA,Francis Schaeffer,Action,Wired to Kill,R,86,4.2,Emily Longstreth,Francis Schaeffer,1986
Australia,Bruce Beresford,Drama,The Fringe Dwellers,PG,98,6.7,Kristina Nehm,Bruce Beresford,1986
France,André Téchiné,Crime,Scene of the Crime,Not specified,90,6.9,Nicolas Giraudi,André Téchiné,1986
USA,Don Lusk,Animation,GoBots: Battle of the Rock Lords,G,75,5.8,Margot Kidder,Jeff Segal,1986
UK,Charles Gormley,Comedy,The Gospel According to Vic,PG,92,6.1,Tom Conti,Charles Gormley,1986
USA,Dominic Orlando,Action,Knights of the City,R,87,4.8,Leon Isaac Kennedy,Leon Isaac Kennedy,1986
USA,Robert M. Young,Comedy,Saving Grace,PG,112,7,Tom Conti,Celia Gittelson,1986
USA,Gary Grillo,Action,Jackals,R,97,5.3,Jack Lucarelli,Dennis A. Pratt,1986
USA,Filippo Ottoni,Comedy,Detective School Dropouts,PG,92,5.8,David Landsberg,Lorin Dreyfuss,1986
USA,Christopher Cain,Adventure,Where the River Runs Black,PG,100,6.6,Charles Durning,Neal Jimenez,1986
Canada,Bruno Bianchi,Family,Heathcliff: The Movie,G,73,5.3,Mel Blanc,George Gately,1986
USA,Dennis Klein,Comedy,One More Saturday Night,R,95,5.7,Tom Davis,Tom Davis,1986
USA,Rob Reiner,Adventure,The Princess Bride,PG,98,8.1,Cary Elwes,William Goldman,1987
UK,Clive Barker,Horror,Hellraiser,R,94,7,Andrew Robinson,Clive Barker,1987
UK,Stanley Kubrick,Drama,Full Metal Jacket,R,116,8.3,Matthew Modine,Gustav Hasford,1987
USA,Emile Ardolino,Drama,Dirty Dancing,PG-13,100,6.9,Patrick Swayze,Eleanor Bergstein,1987
USA,Joel Schumacher,Comedy,The Lost Boys,R,97,7.3,Jason Patric,Jan Fischer,1987
USA,John McTiernan,Action,Predator,R,107,7.8,Arnold Schwarzenegger,Jim Thomas,1987
USA,Paul Michael Glaser,Action,The Running Man,R,101,6.6,Arnold Schwarzenegger,Stephen King,1987
USA,Mel Brooks,Adventure,Spaceballs,PG,96,7.1,Mel Brooks,Mel Brooks,1987
USA,Paul Verhoeven,Action,RoboCop,R,102,7.5,Peter Weller,Edward Neumeier,1987
USA,Richard Donner,Action,Lethal Weapon,R,110,7.6,Mel Gibson,Shane Black,1987
USA,Brian De Palma,Crime,The Untouchables,R,119,7.9,Kevin Costner,Oscar Fraley,1987
USA,Sam Raimi,Comedy,Evil Dead II,R,84,7.8,Bruce Campbell,Sam Raimi,1987
USA,Gary Goddard,Action,Masters of the Universe,PG,106,5.4,Dolph Lundgren,David Odell,1987
USA,Fred Dekker,Action,The Monster Squad,PG-13,82,7.2,Andre Gower,Shane Black,1987
USA,Adrian Lyne,Drama,Fatal Attraction,R,119,6.9,Michael Douglas,James Dearden,1987
UK,John Glen,Action,The Living Daylights,PG,130,6.7,Timothy Dalton,Richard Maibaum,1987
USA,Oliver Stone,Crime,Wall Street,R,126,7.4,Charlie Sheen,Stanley Weiser,1987
USA,Steven Spielberg,Drama,Empire of the Sun,PG,153,7.8,Christian Bale,Tom Stoppard,1987
USA,Steve Rash,Comedy,Can't Buy Me Love,PG-13,94,6.7,Patrick Dempsey,Michael Swerdlick,1987
USA,George Miller,Comedy,The Witches of Eastwick,R,118,6.5,Jack Nicholson,John Updike,1987
USA,Carl Reiner,Comedy,Summer School,PG-13,97,6.5,Mark Harmon,Stuart Birnbaum,1987
USA,Chuck Russell,Action,A Nightmare on Elm Street 3: Dream Warriors,R,96,6.6,Heather Langenkamp,Wes Craven,1987
USA,Chris Columbus,Action,Adventures in Babysitting,PG-13,102,6.9,Elisabeth Shue,David Simkins,1987
USA,John Irvin,Action,Hamburger Hill,R,110,6.7,Anthony Barrile,James Carabatsos,1987
USA,Joseph Sargent,Adventure,Jaws: The Revenge,PG-13,89,2.9,Lorraine Gary,Peter Benchley,1987
